_id,County,FIPS,Cases,Case Rate,Cases Score,Positivity Rate,Positivity Score,County Score Two Meas.,County Score Color,Previous Positivity,Difference in Positivity
57,Noble,18113,34,71.213136730000002216911525465548038482666015625,1,0.054221128000000000379809961259525152854621410369873046875,1,1,Yellow (1 and 1.5),0.0288487550000000002314859415264436393044888973236083984375,2.537237399999999976074605001485906541347503662109375
58,Ohio,18115,1,17.02127660000000020090737962163984775543212890625,1,0.0219155839999999983713774298621501657180488109588623046875,0,0.5,Blue (0 and 0.5),0,2.1915583999999999065266820252873003482818603515625
59,Orange,18117,8,40.72075740999999737823600298725068569183349609375,1,0.051847675000000002787370334544903016649186611175537109375,1,1,Yellow (1 and 1.5),0.0223464620000000009636398345946872723288834095001220703125,2.950121299999999724406052337144501507282257080078125
60,Owen,18119,4,19.231693830000001099733708542771637439727783203125,1,0.012133787999999999518419002697555697523057460784912109375,0,0.5,Blue (0 and 0.5),0.0070886330000000004336602188459437456913292407989501953125,0.50451550000000000562039303986239247024059295654296875
61,Parke,18121,6,35.42540000999999705300069763325154781341552734375,1,0.02252181300000000163663571584038436412811279296875,0,0.5,Blue (0 and 0.5),0.0121081929999999997338289148274270701222121715545654296875,1.0413620999999999572338538200710900127887725830078125
62,Perry,18123,9,46.95080598999999921261405688710510730743408203125,1,0.0015197570000000000522977217087827739305794239044189453125,0,0.5,Blue (0 and 0.5),0.00274725299999999984790211016161265433765947818756103515625,-0.12274960000000000037712055700467317365109920501708984375
63,Pike,18125,15,121.075147299999997585473465733230113983154296875,2,0.08195800699999999938683004074846394360065460205078125,1,1.5,Yellow (1 and 1.5),0.0132183909999999994744346309971660957671701908111572265625,6.87396160000000033818423617049120366573333740234375
64,Porter,18127,138,80.991143789999995306061464361846446990966796875,1,0.058764965000000002337543492103577591478824615478515625,1,1,Yellow (1 and 1.5),0.027880912000000000749988515735822147689759731292724609375,3.088405300000000242022224483662284910678863525390625
65,Posey,18129,23,90.4550281199999943737566354684531688690185546875,1,0.03480545399999999955920060301650664769113063812255859375,0,0.5,Blue (0 and 0.5),0.038083790999999998783120958023573621176183223724365234375,-0.3278337000000000056587623475934378802776336669921875
66,Pulaski,18131,2,16.190399089999999659994500689208507537841796875,1,0.0282714249999999993334665049360410193912684917449951171875,0,0.5,Blue (0 and 0.5),0.01000274399999999917765247658962834975682199001312255859375,1.8268680999999997727201161978882737457752227783203125
