_id,COUNTY_NAME,DATE,COVID_COUNT,COVID_DEATHS,COVID_TEST
461,BLACKFORD,2020-05-08T00:00:00,0,0,7
462,BLACKFORD,2020-05-09T00:00:00,1,0,7
463,BLACKFORD,2020-05-10T00:00:00,0,0,2
464,BLACKFORD,2020-05-11T00:00:00,0,0,15
465,BLACKFORD,2020-05-12T00:00:00,0,0,21
466,BLACKFORD,2020-05-13T00:00:00,0,0,6
467,BLACKFORD,2020-05-14T00:00:00,0,0,12
468,BLACKFORD,2020-05-15T00:00:00,0,0,16
469,BLACKFORD,2020-05-16T00:00:00,0,0,12
470,BLACKFORD,2020-05-17T00:00:00,0,0,1
471,BLACKFORD,2020-05-18T00:00:00,2,0,14
472,BLACKFORD,2020-05-19T00:00:00,0,0,11
473,BLACKFORD,2020-05-20T00:00:00,0,0,9
474,BLACKFORD,2020-05-21T00:00:00,1,0,8
475,BLACKFORD,2020-05-22T00:00:00,1,0,9
476,BLACKFORD,2020-05-23T00:00:00,1,0,7
477,BLACKFORD,2020-05-24T00:00:00,0,0,0
478,BLACKFORD,2020-05-25T00:00:00,1,1,2
479,BLACKFORD,2020-05-26T00:00:00,0,0,19
480,BLACKFORD,2020-05-27T00:00:00,2,0,4
481,BLACKFORD,2020-05-28T00:00:00,2,0,4
482,BLACKFORD,2020-05-29T00:00:00,0,0,11
483,BLACKFORD,2020-05-30T00:00:00,0,0,10
484,BLACKFORD,2020-05-31T00:00:00,1,0,2
485,BLACKFORD,2020-06-01T00:00:00,1,0,9
486,BLACKFORD,2020-06-02T00:00:00,0,0,12
487,BLACKFORD,2020-06-03T00:00:00,0,0,5
488,BLACKFORD,2020-06-04T00:00:00,1,0,8
