_id,COUNTY_NAME,GENDER,AGE_GRP,EVENT_DATE,COVID_COUNT
351,ALLEN,F,60-69,2020-05-04T00:00:00,2
352,ALLEN,F,60-69,2020-05-05T00:00:00,1
353,ALLEN,F,60-69,2020-05-06T00:00:00,1
354,ALLEN,F,60-69,2020-05-07T00:00:00,2
355,ALLEN,F,60-69,2020-05-08T00:00:00,1
356,ALLEN,F,60-69,2020-05-09T00:00:00,3
357,ALLEN,F,60-69,2020-05-10T00:00:00,1
358,ALLEN,F,60-69,2020-05-11T00:00:00,1
359,ALLEN,F,60-69,2020-05-12T00:00:00,1
360,ALLEN,F,60-69,2020-05-13T00:00:00,3
361,ALLEN,F,60-69,2020-05-14T00:00:00,1
362,ALLEN,F,60-69,2020-05-15T00:00:00,3
363,ALLEN,F,60-69,2020-05-16T00:00:00,1
364,ALLEN,F,60-69,2020-05-17T00:00:00,2
365,ALLEN,F,60-69,2020-05-18T00:00:00,1
366,ALLEN,F,60-69,2020-05-19T00:00:00,3
367,ALLEN,F,60-69,2020-05-20T00:00:00,3
368,ALLEN,F,60-69,2020-05-21T00:00:00,2
369,ALLEN,F,60-69,2020-05-22T00:00:00,2
370,ALLEN,F,60-69,2020-05-23T00:00:00,1
371,ALLEN,F,60-69,2020-05-24T00:00:00,2
372,ALLEN,F,60-69,2020-05-25T00:00:00,3
373,ALLEN,F,60-69,2020-05-26T00:00:00,4
374,ALLEN,F,60-69,2020-05-27T00:00:00,4
375,ALLEN,F,60-69,2020-05-28T00:00:00,2
376,ALLEN,F,60-69,2020-05-29T00:00:00,2
377,ALLEN,F,60-69,2020-05-30T00:00:00,3
378,ALLEN,F,60-69,2020-05-31T00:00:00,5
379,ALLEN,F,60-69,2020-06-01T00:00:00,3
380,ALLEN,F,60-69,2020-06-02T00:00:00,4
381,ALLEN,F,60-69,2020-06-03T00:00:00,1
382,ALLEN,F,60-69,2020-06-04T00:00:00,3
383,ALLEN,F,60-69,2020-06-05T00:00:00,3
384,ALLEN,F,60-69,2020-06-08T00:00:00,2
385,ALLEN,F,60-69,2020-06-09T00:00:00,3
386,ALLEN,F,60-69,2020-06-10T00:00:00,1
387,ALLEN,F,60-69,2020-06-11T00:00:00,7
388,ALLEN,F,60-69,2020-06-12T00:00:00,2
389,ALLEN,F,60-69,2020-06-13T00:00:00,2
390,ALLEN,F,60-69,2020-06-16T00:00:00,1
391,ALLEN,F,60-69,2020-06-17T00:00:00,1
392,ALLEN,F,60-69,2020-06-18T00:00:00,1
393,ALLEN,F,70-79,2020-03-22T00:00:00,1
394,ALLEN,F,70-79,2020-03-26T00:00:00,1
395,ALLEN,F,70-79,2020-03-27T00:00:00,1
396,ALLEN,F,70-79,2020-03-31T00:00:00,1
397,ALLEN,F,70-79,2020-04-01T00:00:00,1
398,ALLEN,F,70-79,2020-04-02T00:00:00,1
399,ALLEN,F,70-79,2020-04-05T00:00:00,1
400,ALLEN,F,70-79,2020-04-08T00:00:00,1
401,ALLEN,F,70-79,2020-04-09T00:00:00,1
402,ALLEN,F,70-79,2020-04-10T00:00:00,2
403,ALLEN,F,70-79,2020-04-15T00:00:00,2
404,ALLEN,F,70-79,2020-04-16T00:00:00,1
405,ALLEN,F,70-79,2020-04-22T00:00:00,3
406,ALLEN,F,70-79,2020-04-26T00:00:00,1
407,ALLEN,F,70-79,2020-04-29T00:00:00,6
408,ALLEN,F,70-79,2020-04-30T00:00:00,1
409,ALLEN,F,70-79,2020-05-01T00:00:00,1
410,ALLEN,F,70-79,2020-05-02T00:00:00,1
411,ALLEN,F,70-79,2020-05-07T00:00:00,1
412,ALLEN,F,70-79,2020-05-08T00:00:00,1
413,ALLEN,F,70-79,2020-05-10T00:00:00,1
414,ALLEN,F,70-79,2020-05-15T00:00:00,1
415,ALLEN,F,70-79,2020-05-17T00:00:00,4
416,ALLEN,F,70-79,2020-05-19T00:00:00,1
417,ALLEN,F,70-79,2020-05-20T00:00:00,2
418,ALLEN,F,70-79,2020-05-23T00:00:00,1
419,ALLEN,F,70-79,2020-05-24T00:00:00,2
420,ALLEN,F,70-79,2020-05-25T00:00:00,1
421,ALLEN,F,70-79,2020-05-26T00:00:00,1
422,ALLEN,F,70-79,2020-05-27T00:00:00,2
423,ALLEN,F,70-79,2020-05-28T00:00:00,1
424,ALLEN,F,70-79,2020-05-29T00:00:00,2
425,ALLEN,F,70-79,2020-05-30T00:00:00,1
426,ALLEN,F,70-79,2020-05-31T00:00:00,3
427,ALLEN,F,70-79,2020-06-01T00:00:00,1
428,ALLEN,F,70-79,2020-06-03T00:00:00,3
429,ALLEN,F,70-79,2020-06-04T00:00:00,1
430,ALLEN,F,70-79,2020-06-05T00:00:00,3
431,ALLEN,F,70-79,2020-06-06T00:00:00,2
432,ALLEN,F,70-79,2020-06-07T00:00:00,1
433,ALLEN,F,70-79,2020-06-08T00:00:00,4
434,ALLEN,F,70-79,2020-06-09T00:00:00,4
435,ALLEN,F,70-79,2020-06-10T00:00:00,2
436,ALLEN,F,70-79,2020-06-12T00:00:00,2
437,ALLEN,F,70-79,2020-06-14T00:00:00,1
438,ALLEN,F,70-79,2020-06-15T00:00:00,1
439,ALLEN,F,70-79,2020-06-18T00:00:00,1
440,ALLEN,F,80+,2020-03-26T00:00:00,1
441,ALLEN,F,80+,2020-04-05T00:00:00,1
442,ALLEN,F,80+,2020-04-07T00:00:00,2
443,ALLEN,F,80+,2020-04-09T00:00:00,2
444,ALLEN,F,80+,2020-04-10T00:00:00,1
445,ALLEN,F,80+,2020-04-11T00:00:00,2
446,ALLEN,F,80+,2020-04-15T00:00:00,1
447,ALLEN,F,80+,2020-04-16T00:00:00,4
448,ALLEN,F,80+,2020-04-17T00:00:00,1
449,ALLEN,F,80+,2020-04-18T00:00:00,1
450,ALLEN,F,80+,2020-04-22T00:00:00,3
451,ALLEN,F,80+,2020-04-23T00:00:00,1
452,ALLEN,F,80+,2020-04-24T00:00:00,2
453,ALLEN,F,80+,2020-04-26T00:00:00,2
454,ALLEN,F,80+,2020-04-27T00:00:00,1
455,ALLEN,F,80+,2020-04-28T00:00:00,9
456,ALLEN,F,80+,2020-04-29T00:00:00,2
457,ALLEN,F,80+,2020-05-06T00:00:00,1
458,ALLEN,F,80+,2020-05-07T00:00:00,1
459,ALLEN,F,80+,2020-05-11T00:00:00,1
